id,easting,northing,elevation,site,year,percAlong,distAlong
72,317900.1666,4097794.825,2163.168581,AHA,2021,0.020253165,18.90025388
73,317900.3974,4097794.979,2163.156245,AHA,2021,0.020534459,19.16275741
74,317900.7001,4097795.181,2163.155261,AHA,2021,0.020815752,19.42526093
75,317900.7001,4097795.181,2163.155261,AHA,2021,0.021097046,19.68776446
76,317900.9081,4097795.514,2163.151708,AHA,2021,0.02137834,19.95026798
77,317900.9081,4097795.514,2163.151708,AHA,2021,0.021659634,20.21277151
78,317900.8528,4097796.049,2163.154577,AHA,2021,0.021940928,20.47527504
79,317900.8528,4097796.049,2163.154577,AHA,2021,0.022222222,20.73777856
80,317900.9952,4097796.505,2163.161641,AHA,2021,0.022503516,21.00028209
81,317900.9952,4097796.505,2163.161641,AHA,2021,0.02278481,21.26278561
82,317901.1438,4097796.952,2163.275848,AHA,2021,0.023066104,21.52528914
83,317901.1938,4097797.102,2163.315335,AHA,2021,0.023347398,21.78779267
84,317901.3705,4097797.54,2163.384504,AHA,2021,0.023628692,22.05029619
85,317901.3705,4097797.54,2163.384504,AHA,2021,0.023909986,22.31279972
86,317901.5705,4097797.94,2163.457941,AHA,2021,0.02419128,22.57530325
87,317901.7505,4097798.218,2163.409039,AHA,2021,0.024472574,22.83780677
88,317901.7505,4097798.218,2163.409039,AHA,2021,0.024753868,23.1003103
89,317901.9698,4097798.348,2163.357578,AHA,2021,0.025035162,23.36281382
90,317902.3399,4097798.567,2163.263019,AHA,2021,0.025316456,23.62531735
91,317902.3399,4097798.567,2163.263019,AHA,2021,0.02559775,23.88782088
92,317902.5959,4097798.853,2163.275302,AHA,2021,0.025879044,24.1503244
93,317902.791,4097799.097,2163.265357,AHA,2021,0.026160338,24.41282793
94,317903.0349,4097799.402,2163.280632,AHA,2021,0.026441632,24.67533145
95,317903.0349,4097799.402,2163.280632,AHA,2021,0.026722925,24.93783498
96,317903.2445,4097799.644,2163.275814,AHA,2021,0.027004219,25.20033851
97,317903.2445,4097799.644,2163.275814,AHA,2021,0.027285513,25.46284203
98,317903.4929,4097799.922,2163.293302,AHA,2021,0.027566807,25.72534556
99,317903.7152,4097800.171,2163.296449,AHA,2021,0.027848101,25.98784908
100,317903.9691,4097800.518,2163.280096,AHA,2021,0.028129395,26.25035261
101,317903.9691,4097800.518,2163.280096,AHA,2021,0.028410689,26.51285614
102,317904.096,4097800.983,2163.244113,AHA,2021,0.028691983,26.77535966
103,317904.1306,4097801.11,2163.240037,AHA,2021,0.028973277,27.03786319
104,317904.1306,4097801.11,2163.240037,AHA,2021,0.029254571,27.30036672
105,317904.1513,4097801.55,2163.259555,AHA,2021,0.029535865,27.56287024
106,317904.1513,4097802.05,2163.357714,AHA,2021,0.029817159,27.82537377
107,317904.1086,4097802.389,2163.485876,AHA,2021,0.030098453,28.08787729
108,317904.1086,4097802.389,2163.485876,AHA,2021,0.030379747,28.35038082
109,317903.9547,4097802.62,2163.546587,AHA,2021,0.030661041,28.61288435
110,317903.7239,4097802.966,2163.585449,AHA,2021,0.030942335,28.87538787
111,317903.7239,4097802.966,2163.585449,AHA,2021,0.031223629,29.1378914
112,317903.4802,4097803.206,2163.516494,AHA,2021,0.031504923,29.40039492
113,317903.2343,4097803.411,2163.441724,AHA,2021,0.031786217,29.66289845
114,317902.9571,4097803.657,2163.394229,AHA,2021,0.032067511,29.92540198
115,317902.9571,4097803.657,2163.394229,AHA,2021,0.032348805,30.1879055
116,317902.7071,4097803.907,2163.37062,AHA,2021,0.032630098,30.45040903
117,317902.4036,4097804.137,2163.335989,AHA,2021,0.032911392,30.71291255
118,317902.4036,4097804.137,2163.335989,AHA,2021,0.033192686,30.97541608
119,317902.1798,4097804.275,2163.350241,AHA,2021,0.03347398,31.23791961
120,317901.8671,4097804.551,2163.360863,AHA,2021,0.033755274,31.50042313
121,317901.8671,4097804.551,2163.360863,AHA,2021,0.034036568,31.76292666
122,317901.8303,4097805.049,2163.305649,AHA,2021,0.034317862,32.02543019
123,317901.9051,4097805.492,2163.343954,AHA,2021,0.034599156,32.28793371
124,317901.9051,4097805.492,2163.343954,AHA,2021,0.03488045,32.55043724
125,317902.1679,4097805.742,2163.416091,AHA,2021,0.035161744,32.81294076
126,317902.4176,4097805.979,2163.472907,AHA,2021,0.035443038,33.07544429
127,317902.4176,4097805.979,2163.472907,AHA,2021,0.035724332,33.33794782
128,317902.6855,4097806.228,2163.50537,AHA,2021,0.036005626,33.60045134
129,317902.9347,4097806.458,2163.51457,AHA,2021,0.03628692,33.86295487
130,317902.9347,4097806.458,2163.51457,AHA,2021,0.036568214,34.12545839
131,317903.206,4097806.707,2163.487577,AHA,2021,0.036849508,34.38796192
